Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop
CO_370:0001005,Firmness_Obser_count,,Quality,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0001008,Acidity_Obser_count,,Quality,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0001011,Sugar_Obser_count,,Quality,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0001015,Juici_Obser_count,,Quality,Annual post-harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0001018,TreeYield_Obser_sum,,Yield,Annual at harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0001022,FruitSum_Obser_count,,Yield,Annual at harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0001025,PreharFruitDrop_Obser_count,,Yield,Annual at harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0001028,PreharFruitDrop_Obser_kg,,Yield,Annual at harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0001031,TreeNHarvest_Obser_photo,,Yield ,Annual at harvest analysis,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
CO_370:0001034,Durability_Obser_count,,Quality,Annual post-storage,Standard for Laimburg Research,,"Laimburg Research, EURAC","E. Chuprikova, W. Guerra",,EN,Apple (Malus domestica)
